"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"756",502211,"Mike Bolsinger","756","100.00","0.298","0.236","0.331","0.534","0.398","0.352","0.254","48","161","81.8","12.7","2252","84.6","84.42","65","316","435","-0.2","6.24","108","151","113","147","295","321","294"
"752",501992,"Nate Karns","752","100.00","0.237","0.208","0.283","0.445","0.322","0.313","0.220","41","173","83.7","15.4","2237","88.6","89.27","100","346","400","0.7","6.72","115","151","112","145","301","328","299"
"736",518452,"Chad Bettis","736","100.00","0.286","0.214","0.303","0.500","0.346","0.299","0.255","52","182","81.7","9.4","1852","86.1","85.68","71","347","384","-0.4","5.80","113","153","114","147","305","319","305"
"735",623430,"Ryan Dull","735","100.00","0.236","0.172","0.283","0.408","0.319","0.290","0.212","37","157","81.0","18.1","2318","86.8","85.74","98","333","394","-1.1","5.51","109","149","114","147","296","324","297"
"733",518553,"Steve Cishek","733","100.00","0.167","0.077","0.204","0.244","0.228","0.271","0.204","26","156","78.5","11.6","2314","83.9","85.26","80","307","418","1.4","7.26","110","152","113","146","297","320","292"
"730",664208,"Phil Maton","730","100.00","0.248","0.218","0.284","0.467","0.336","0.300","0.224","41","165","80.2","16.6","2560","89.8","90.61","103","359","365","0.8","6.71","106","150","111","147","292","314","297"
"727",571561,"Tony Cingrani","727","100.00","0.247","0.241","0.300","0.488","0.337","0.260","0.192","40","162","81.2","21.6","2179","92.6","93.41","109","352","371","0.8","6.72","116","150","111","147","295","313","288"
"723",452027,"Andrew Albers","723","100.00","0.262","0.152","0.303","0.415","0.315","0.311","0.257","43","164","79.7","22.3","2017","83.8","82.90","65","378","343","-0.9","5.78","106","153","115","149","297","317","296"
"721",446899,"Brad Ziegler","721","100.00","0.306","0.070","0.352","0.376","0.338","0.314","0.270","57","186","80.3","-0.2","1941","79.5","78.34","68","336","352","-1.2","5.83","106","148","106","147","295","316","295"
"720",605540,"Brandon Woodruff","720","100.00","0.259","0.133","0.295","0.392","0.318","0.297","0.238","43","166","78.1","12.9","2056","90.8","90.99","70","364","346","0.2","6.43","111","154","114","151","304","316","293"
"717",641941,"Emilio Pagan","717","100.00","0.212","0.152","0.260","0.364","0.263","0.241","0.192","39","184","82.2","26.7","2391","90.7","91.28","107","387","329","0.6","6.62","109","151","113","148","294","317","293"
"715",641838,"Kevin McCarthy","715","100.00","0.276","0.105","0.305","0.381","0.311","0.318","0.267","50","181","81.5","11.7","2147","90.7","91.80","69","367","347","1.1","6.86","113","153","113","144","297","318","299"
"709",643354,"Donnie Hart","709","100.00","0.279","0.134","0.309","0.413","0.334","0.310","0.248","48","172","80.5","10.5","2093","82.3","81.75","76","316","387","-0.6","6.19","109","152","117","147","296","322","295"
"704",608337,"Lucas Giolito","704","100.00","0.190","0.196","0.190","0.387","0.279","0.304","0.239","31","163","80.1","16.0","2083","87.9","88.42","78","346","351","0.5","6.58","110","151","114","148","296","307","294"
"703",608716,"Drew Steckenrider","703","100.00","0.227","0.129","0.347","0.356","0.303","0.284","0.197","30","132","79.5","22.7","2261","92.9","92.36","103","348","351","-0.5","6.11","107","150","110","148","301","325","300"
"702",430641,"Blaine Boyer","702","100.00","0.311","0.130","0.373","0.441","0.354","0.321","0.261","50","161","79.1","19.5","2386","89.7","88.85","76","349","339","-0.9","5.75","111","151","117","146","286","327","289"
